Id,SalePrice
1461,128865.68
1462,156405.2
1463,180360.0
1464,187331.905
1465,202146.05
1466,182567.095
1467,167687.16
1468,177379.435
1469,177813.955
1470,116707.845
1471,199803.695
1472,96777.7
1473,99085.555
1474,162475.75
1475,148432.95
1476,378090.605
1477,252313.665
1478,311376.74
1479,245033.71
1480,489313.3
1481,316184.505
1482,210023.765
1483,172992.385
1484,179410.135
1485,169922.175
1486,199597.785
1487,319076.96
1488,238357.98
1489,211141.7
1490,199479.4
1491,191353.55
1492,103057.995
1493,175165.635
1494,303225.795
1495,299113.975
1496,224608.585
1497,185677.955
1498,159172.175
1499,157869.845
1500,154661.605
1501,168469.705
1502,163677.22
1503,286236.02
1504,234969.725
1505,213990.025
1506,187349.385
1507,227237.185
1508,198672.415
1509,165874.5
1510,155129.495
1511,154924.645
1512,173372.715
1513,160656.21
1514,165216.575
1515,175056.16
1516,165560.61
1517,151814.93
1518,131553.845
1519,221795.48
1520,140531.875
1521,146165.935
1522,170649.0
1523,117240.87
1524,122840.82
1525,126572.285
1526,127561.685
1527,108157.485
1528,130517.525
1529,145431.72
1530,170701.005
1531,134726.425
1532,109590.915
1533,146209.845
1534,117350.44
1535,157069.185
1536,118008.64
1537,72732.77
1538,196640.835
1539,240759.535
1540,115922.785
1541,150208.0
1542,140517.75
1543,208778.48
1544,75210.775
1545,103507.68
1546,120598.0
1547,136261.06
1548,129496.435
1549,112482.245
1550,139573.99
1551,117576.815
1552,147442.41
1553,147852.17
1554,114576.46
1555,162961.0
1556,100172.815
1557,117313.455
1558,91714.3
1559,119849.595
1560,147675.04
1561,144589.95
1562,126131.945
1563,118508.58
1564,162735.92
1565,152198.255
1566,232119.6
1567,80026.95
1568,225273.4
1569,145339.93
1570,126719.13
1571,130344.585
1572,147024.125
1573,237290.015
1574,124312.93
1575,208175.945
1576,211618.955
1577,202098.67
1578,157239.565
1579,140748.8
1580,191409.97
1581,137875.115
1582,125158.215
1583,332668.25
1584,237860.025
1585,138595.905
1586,72201.67
1587,103285.925
1588,155561.685
1589,99087.63
1590,130547.23
1591,106828.72
1592,127741.085
1593,116031.825
1594,132031.58
1595,125834.405
1596,228531.435
1597,165250.53
1598,178383.24
1599,222899.54
1600,198756.385
1601,75630.405
1602,109944.215
1603,96563.29
1604,277581.465
1605,255311.96
1606,161869.53
1607,179691.82
1608,209422.525
1609,195277.435
1610,156654.715
1611,148370.385
1612,162325.22
1613,160655.325
1614,118428.135
1615,88308.68
1616,83568.43
1617,87691.02
1618,121920.965
1619,129694.995
1620,151212.68
1621,134945.175
1622,146402.395
1623,287330.135
1624,208251.265
1625,130072.555
1626,181560.57
1627,191164.945
1628,284721.97
1629,174105.845
1630,348022.415
1631,227127.94
1632,250282.795
1633,166652.09
1634,186008.92
1635,181701.27
1636,160334.85
1637,175878.59
